Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0,0.309,0.55,80.55,80.55,-0.196675533
0.000001,0.317,0.55,80.55,80.55,-0.196675533
0.000002,0.311,0.55,80.55,80.55,-0.196675533
0.000003,0.309,0.55,80.55,80.55,-0.196675533
0.000004,0.311,0.55,80.55,80.55,-0.196675533
0.000005,0.313,0.53,80.53,80.53,-0.196615986
0.000006,0.313,0.55,80.55,80.55,-0.196675533
0.000007,0.313,0.55,80.55,80.55,-0.196675533
0.000008,0.309,0.55,80.55,80.55,-0.196675533
0.000009,0.309,0.55,80.55,80.55,-0.196675533
0.00001,0.311,0.55,80.55,80.55,-0.196675533
0.000011,0.313,0.53,80.53,80.53,-0.196615986
0.000012,0.315,0.53,80.53,80.53,-0.196615986
0.000013,0.309,0.55,80.55,80.55,-0.196675533
0.000014,0.309,0.55,80.55,80.55,-0.196675533
0.000015,0.315,0.55,80.55,80.55,-0.196675533
0.000016,0.311,0.55,80.55,80.55,-0.196675533
0.000017,0.309,0.55,80.55,80.55,-0.196675533
0.000018,0.309,0.55,80.55,80.55,-0.196675533
0.000019,0.309,0.55,80.55,80.55,-0.196675533
0.00002,0.311,0.55,80.55,80.55,-0.196675533
0.000021,0.311,0.55,80.55,80.55,-0.196675533
0.000022,0.311,0.55,80.55,80.55,-0.196675533
0.000023,0.309,0.55,80.55,80.55,-0.196675533
0.000024,0.311,0.55,80.55,80.55,-0.196675533
0.000025,0.309,0.55,80.55,80.55,-0.196675533
0.000026,0.311,0.55,80.55,80.55,-0.196675533
0.000027,0.313,0.55,80.55,80.55,-0.196675533
0.000028,0.309,0.55,80.55,80.55,-0.196675533
0.000029,0.311,0.55,80.55,80.55,-0.196675533
0.00003,0.313,0.55,80.55,80.55,-0.196675533
0.000031,0.309,0.55,80.55,80.55,-0.196675533
0.000032,0.315,0.55,80.55,80.55,-0.196675533
0.000033,0.313,0.55,80.55,80.55,-0.196675533
0.000034,0.311,0.55,80.55,80.55,-0.196675533
0.000035,0.309,0.55,80.55,80.55,-0.196675533
0.000036,0.309,0.53,80.53,80.53,-0.196615986
0.000037,0.313,0.55,80.55,80.55,-0.196675533
0.000038,0.315,0.57,80.57,80.57,-0.19673508
0.000039,0.313,0.57,80.57,80.57,-0.19673508
0.00004,0.313,0.57,80.57,80.57,-0.19673508
0.000041,0.307,0.57,80.57,80.57,-0.19673508
0.000042,0.311,0.57,80.57,80.57,-0.19673508
0.000043,0.309,0.57,80.57,80.57,-0.19673508
0.000044,0.311,0.57,80.57,80.57,-0.19673508
0.000045,0.309,0.57,80.57,80.57,-0.19673508
0.000046,0.311,0.57,80.57,80.57,-0.19673508
0.000047,0.311,0.57,80.57,80.57,-0.19673508
0.000048,0.311,0.57,80.57,80.57,-0.19673508
0.000049,0.309,0.57,80.57,80.57,-0.19673508
0.00005,0.313,0.57,80.57,80.57,-0.19673508
0.000051,0.311,0.57,80.57,80.57,-0.19673508
0.000052,0.313,0.57,80.57,80.57,-0.19673508
0.000053,0.311,0.57,80.57,80.57,-0.19673508
0.000054,0.309,0.57,80.57,80.57,-0.19673508
0.000055,0.311,0.57,80.57,80.57,-0.19673508
0.000056,0.307,0.57,80.57,80.57,-0.19673508
0.000057,0.309,0.57,80.57,80.57,-0.19673508
0.000058,0.309,0.55,80.55,80.55,-0.196675533
0.000059,0.313,0.57,80.57,80.57,-0.19673508
0.00006,0.313,0.57,80.57,80.57,-0.19673508
0.000061,0.311,0.57,80.57,80.57,-0.19673508
0.000062,0.309,0.57,80.57,80.57,-0.19673508
0.000063,0.311,0.57,80.57,80.57,-0.19673508
0.000064,0.315,0.57,80.57,80.57,-0.19673508
0.000065,0.309,0.57,80.57,80.57,-0.19673508
0.000066,0.311,0.57,80.57,80.57,-0.19673508
0.000067,0.311,0.57,80.57,80.57,-0.19673508
0.000068,0.309,0.57,80.57,80.57,-0.19673508
0.000069,0.311,0.55,80.55,80.55,-0.196675533
0.00007,0.311,0.57,80.57,80.57,-0.19673508
0.000071,0.311,0.57,80.57,80.57,-0.19673508
0.000072,0.309,0.57,80.57,80.57,-0.19673508
0.000073,0.313,0.55,80.55,80.55,-0.196675533
0.000074,0.309,0.57,80.57,80.57,-0.19673508
0.000075,0.313,0.57,80.57,80.57,-0.19673508
0.000076,0.313,0.55,80.55,80.55,-0.196675533
0.000077,0.313,0.57,80.57,80.57,-0.19673508
0.000078,0.311,0.57,80.57,80.57,-0.19673508
0.000079,0.311,0.57,80.57,80.57,-0.19673508
0.00008,0.309,0.57,80.57,80.57,-0.19673508
0.000081,0.313,0.57,80.57,80.57,-0.19673508
0.000082,0.311,0.57,80.57,80.57,-0.19673508
0.000083,0.313,0.57,80.57,80.57,-0.19673508
0.000084,0.307,0.57,80.57,80.57,-0.19673508
0.000085,0.313,0.57,80.57,80.57,-0.19673508
0.000086,0.309,0.57,80.57,80.57,-0.19673508
0.000087,0.311,0.57,80.57,80.57,-0.19673508
0.000088,0.311,0.57,80.57,80.57,-0.19673508
0.000089,0.307,0.57,80.57,80.57,-0.19673508
0.00009,0.311,0.59,80.59,80.59,-0.196794626
0.000091,0.311,0.57,80.57,80.57,-0.19673508
0.000092,0.311,0.57,80.57,80.57,-0.19673508
0.000093,0.311,0.59,80.59,80.59,-0.196794626
0.000094,0.315,0.59,80.59,80.59,-0.196794626
0.000095,0.309,0.59,80.59,80.59,-0.196794626
0.000096,0.313,0.59,80.59,80.59,-0.196794626
0.000097,0.311,0.59,80.59,80.59,-0.196794626
0.000098,0.313,0.57,80.57,80.57,-0.19673508
0.000099,0.309,0.57,80.57,80.57,-0.19673508
0.0001,0.311,0.59,80.59,80.59,-0.196794626
0.000101,0.311,0.57,80.57,80.57,-0.19673508
0.000102,0.313,0.59,80.59,80.59,-0.196794626
0.000103,0.313,0.59,80.59,80.59,-0.196794626
0.000104,0.309,0.59,80.59,80.59,-0.196794626
0.000105,0.313,0.59,80.59,80.59,-0.196794626
0.000106,0.311,0.59,80.59,80.59,-0.196794626
0.000107,0.311,0.59,80.59,80.59,-0.196794626
0.000108,0.311,0.59,80.59,80.59,-0.196794626
0.000109,0.313,0.59,80.59,80.59,-0.196794626
0.00011,0.313,0.59,80.59,80.59,-0.196794626
0.000111,0.309,0.59,80.59,80.59,-0.196794626
0.000112,0.307,0.59,80.59,80.59,-0.196794626
0.000113,0.313,0.59,80.59,80.59,-0.196794626
0.000114,0.307,0.59,80.59,80.59,-0.196794626
0.000115,0.309,0.57,80.57,80.57,-0.19673508
0.000116,0.311,0.59,80.59,80.59,-0.196794626
0.000117,0.311,0.59,80.59,80.59,-0.196794626
0.000118,0.309,0.59,80.59,80.59,-0.196794626
0.000119,0.309,0.57,80.57,80.57,-0.19673508
0.00012,0.311,0.59,80.59,80.59,-0.196794626
0.000121,0.309,0.59,80.59,80.59,-0.196794626
0.000122,0.307,0.59,80.59,80.59,-0.196794626
0.000123,0.311,0.59,80.59,80.59,-0.196794626
0.000124,0.315,0.59,80.59,80.59,-0.196794626
0.000125,0.309,0.59,80.59,80.59,-0.196794626
0.000126,0.311,0.59,80.59,80.59,-0.196794626
0.000127,0.309,0.57,80.57,80.57,-0.19673508
0.000128,0.311,0.59,80.59,80.59,-0.196794626
0.000129,0.313,0.59,80.59,80.59,-0.196794626
0.00013,0.315,0.59,80.59,80.59,-0.196794626
0.000131,0.311,0.57,80.57,80.57,-0.19673508
0.000132,0.313,0.57,80.57,80.57,-0.19673508
0.000133,0.307,0.59,80.59,80.59,-0.196794626
