step_points,gap,middle_points,middle_average,delta_w,fdelta_w,voltage_set
,,,1550.02496,-0.0001455,0,0
1057,62,1088,1550.024814,-0.0001455,-0.0001455,0.1
1119,61,1149,1550.024669,-0.0001495,-0.0002905,0.2
1180,56,1208,1550.024519,-0.0001515,-0.0004405,0.3
1236,60,1266,1550.024368,-0.000163,-0.0005915,0.4
1296,58,1325,1550.024205,-0.0001605,-0.0007545,0.5
1354,60,1384,1550.024045,-0.000153,-0.0009145,0.6
1414,57,1442,1550.023892,-0.0001525,-0.0010675,0.7
1471,58,1500,1550.023739,-0.0001565,-0.0012205,0.8
1529,61,1559,1550.023583,-0.000161,-0.0013765,0.9
1590,57,1618,1550.023422,-0.000163,-0.0015375,1
1647,61,1677,1550.023259,-0.00016,-0.0017005,1.1
1708,60,1738,1550.023098,-0.000164,-0.0018615,1.2
1768,60,1798,1550.022934,-0.0001615,-0.0020255,1.3
1828,57,1856,1550.022773,-0.0001515,-0.0021865,1.4
1885,58,1914,1550.022621,-0.00015,-0.0023385,1.5
1943,57,1971,1550.022472,-0.0001605,-0.0024875,1.6
2000,60,2030,1550.022311,-0.000162,-0.0026485,1.7
2060,61,2090,1550.022149,-0.000162,-0.0028105,1.8
2121,61,2151,1550.021987,-0.0001655,-0.0029725,1.9
2182,57,2210,1550.021822,-0.000171,-0.0031375,2
2239,61,2269,1550.02165,-0.000177,-0.0033095,2.1
2300,61,2330,1550.021473,-0.000169,-0.0034865,2.2
2361,62,2392,1550.021305,-0.0001685,-0.0036545,2.3
2423,61,2453,1550.021136,-0.000172,-0.0038235,2.4
2484,59,2513,1550.020964,-0.000184,-0.0039955,2.5
2543,62,2574,1550.02078,-0.000185,-0.0041795,2.6
2605,62,2636,1550.020595,-0.000186,-0.0043645,2.7
2667,62,2698,1550.020409,-0.000187,-0.0045505,2.8
2729,67,2762,1550.020222,-0.000183,-0.0047375,2.9
2796,66,2829,1550.020039,-0.0001705,-0.0049205,3
2862,61,2892,1550.019869,-0.0001835,-0.0050905,3.1
2923,74,2960,1550.019685,-0.0001885,-0.0052745,3.2
2997,61,3027,1550.019496,-0.0001955,-0.0054635,3.3
3058,65,3090,1550.019301,-0.0001955,-0.0056585,3.4
3123,62,3154,1550.019106,-0.0001965,-0.0058535,3.5
3185,63,3216,1550.018909,-0.000196,-0.0060505,3.6
3248,63,3279,1550.018713,-0.0001855,-0.0062465,3.7
3311,64,3343,1550.018528,-0.0001795,-0.0064315,3.8
3375,63,3406,1550.018348,-0.0001875,-0.0066115,3.9
3438,64,3470,1550.01816,-0.000194,-0.0067995,4
3502,61,3532,1550.017967,-0.0002035,-0.0069925,4.1
3563,70,3598,1550.017763,-0.0001975,-0.0071965,4.2
3633,64,3665,1550.017566,-0.000204,-0.0073935,4.3
3697,69,3731,1550.017362,-0.0001915,-0.0075975,4.4
3766,63,3797,1550.01717,-0.0001905,-0.0077895,4.5
3829,68,3863,1550.01698,-0.000197,-0.0079795,4.6
3897,66,3930,1550.016782,-0.0002085,-0.0081775,4.7
3963,63,3994,1550.016574,-0.000212,-0.0083855,4.8
4026,62,4057,1550.016362,-0.0002105,-0.0085975,4.9
4088,62,4119,1550.016151,-0.000217,-0.0088085,5
4150,64,4182,1550.015935,-0.0001995,-0.0090245,5.1
4214,62,4245,1550.015735,-0.000192,-0.0092245,5.2
4276,67,4309,1550.015543,-0.0001945,-0.0094165,5.3
4343,64,4375,1550.015348,-0.0002065,-0.0096115,5.4
4407,65,4439,1550.015142,-0.0002125,-0.0098175,5.5
4472,64,4504,1550.01493,-0.000219,-0.0100295,5.6
4536,62,4567,1550.01471,-0.000218,-0.0102495,5.7
4598,62,4629,1550.014493,-0.0001975,-0.0104665,5.8
4660,65,4692,1550.014295,-0.0001915,-0.0106645,5.9
4725,59,4754,1550.014104,-0.0001995,-0.0108555,6
4784,63,4815,1550.013904,-0.0002085,-0.0110555,6.1
4847,62,4878,1550.013695,-0.0002105,-0.0112645,6.2
4909,63,4940,1550.013485,-0.0002145,-0.0114745,6.3
4972,59,5001,1550.01327,-0.0002105,-0.0116895,6.4
5031,63,5062,1550.01306,-0.0001935,-0.0118995,6.5
