voltage,wavelength
0,1548.9
1,1549
2,1549.1
3,1549.2
4,1549.3
5,1549.4
6,1549.5
7,1549.6
8,1549.7
9,1549.8
10,1549.9
11,1550
12,1550.1
13,1550.2
14,1550.3
15,1550.4
16,1550.5
17,1550.6
18,1550.7
19,1550.8
20,1550.9
21,1551
22,1551.1
23,1551.2
24,1551.3
25,1551.4
26,1551.5
27,1551.6
28,1551.7
29,1551.8
30,1551.9
31,1552
32,1552.1
33,1552.2
34,1552.3
35,1552.4
36,1552.5
37,1552.6
38,1552.7
39,1552.8
40,1552.9
41,1553
42,1553.1
43,1553.2
44,1553.3
45,1553.4
46,1553.5
47,1553.6
48,1553.7
49,1553.8
50,1553.9
51,1554
52,1554.1
53,1554.2
54,1554.3
55,1554.4
56,1554.5
57,1554.6
58,1554.7
59,1554.8
60,1554.9
61,1555
62,1555.1
63,1555.2
64,1555.3
65,1555.4
66,1555.5
67,1555.6
68,1555.7
69,1555.8
70,1555.9
71,1556
72,1556.1
73,1556.2
74,1556.3
75,1556.4
76,1556.5
77,1556.6
78,1556.7
79,1556.8
80,1556.9
81,1557
82,1557.1
83,1557.2
84,1557.3
85,1557.4
86,1557.5
87,1557.6
88,1557.7
89,1557.8
90,1557.9
91,1558
92,1558.1
93,1558.2
94,1558.3
95,1558.4
96,1558.5
97,1558.6
98,1558.7
99,1558.8
100,1558.9
101,1559
102,1559.1
103,1559.2
104,1559.3
105,1559.4
106,1559.5
107,1559.6
108,1559.7
109,1559.8
110,1559.9
111,1560
112,1560.1
113,1560.2
114,1560.3
115,1560.4
116,1560.5
117,1560.6
118,1560.7
119,1560.8
120,1560.9
121,1561
122,1561.1
123,1561.2
124,1561.3
125,1561.4
126,1561.5
127,1561.6
128,1561.7
129,1561.8
130,1561.9
131,1562
132,1562.1
133,1562.2
134,1562.3
135,1562.4
136,1562.5
137,1562.6
138,1562.7
139,1562.8
140,1562.9
