voltage,wavelength
0,0
0.1,-0.000145333
0.2,-0.000295333
0.3,-0.000447333
0.4,-0.000608667
0.5,-0.000768667
0.6,-0.000923333
0.7,-0.001075333
0.8,-0.001230667
0.9,-0.001392667
1,-0.001555333
1.1,-0.001714667
1.2,-0.001877333
1.3,-0.002042
1.4,-0.002191333
1.5,-0.002340667
1.6,-0.002500667
1.7,-0.002660667
1.8,-0.002825333
1.9,-0.002989333
2,-0.003160667
2.1,-0.003336
2.2,-0.003505333
2.3,-0.003673333
2.4,-0.003845333
2.5,-0.004028667
2.6,-0.004212667
2.7,-0.004399333
2.8,-0.004586
2.9,-0.004766667
3,-0.004938667
3.1,-0.00512
3.2,-0.00531
3.3,-0.005488
3.4,-0.005676667
3.5,-0.005862
3.6,-0.006056667
3.7,-0.006234
3.8,-0.006410667
3.9,-0.006585333
4,-0.006766
4.1,-0.006964
4.2,-0.007157333
4.3,-0.007343333
4.4,-0.007534667
4.5,-0.00772
4.6,-0.007908
4.7,-0.008101333
4.8,-0.008298667
4.9,-0.008501333
5,-0.008713333
5.1,-0.008914
5.2,-0.009112
5.3,-0.00929
5.4,-0.009476667
5.5,-0.009684
5.6,-0.009896667
5.7,-0.010117333
5.8,-0.010332667
5.9,-0.010526667
6,-0.010719333
6.1,-0.010919333
6.2,-0.011128
6.3,-0.011338667
6.4,-0.011556
6.5,-0.011762667
6.6,-0.011955333
6.7,-0.012142
6.8,-0.012333333
6.9,-0.012533333
7,-0.012731333
7.1,-0.012938
7.2,-0.013136667
7.3,-0.013322
7.4,-0.013499333
7.5,-0.013689333
7.6,-0.013877333
7.7,-0.014060667
7.8,-0.014250667
7.9,-0.014442
8,-0.014628
8.1,-0.014813333
8.2,-0.015005333
8.3,-0.015196
8.4,-0.015384
8.5,-0.015576667
8.6,-0.015771333
8.7,-0.015961333
8.8,-0.016150667
8.9,-0.016342667
9,-0.016528
9.1,-0.016707333
9.2,-0.016891333
9.3,-0.017083333
9.4,-0.017273333
9.5,-0.017468
9.6,-0.017662667
9.7,-0.017848
9.8,-0.018032
9.9,-0.018215333
10,-0.018414667
10.1,-0.018606
10.2,-0.018798667
10.3,-0.018984
10.4,-0.019158
10.5,-0.019331333
10.6,-0.019509333
10.7,-0.019694
10.8,-0.019896
10.9,-0.020096667
11,-0.020280667
11.1,-0.020462
11.2,-0.020639333
11.3,-0.020818667
11.4,-0.021004667
11.5,-0.021209333
11.6,-0.021412667
11.7,-0.021583333
11.8,-0.021764
11.9,-0.021948
12,-0.022136667
12.1,-0.022346
12.2,-0.022553333
12.3,-0.022750667
12.4,-0.022925333
12.5,-0.023092
12.6,-0.023276
12.7,-0.023469333
12.8,-0.023660667
12.9,-0.023877333
13,-0.02407
13.1,-0.024259333
13.2,-0.024464667
13.3,-0.024678
13.4,-0.024901333
13.5,-0.025124667
13.6,-0.025337333
13.7,-0.025535333
13.8,-0.025744667
13.9,-0.025965333
14,-0.026197333
14.1,-0.026431333
14.2,-0.026670667
14.3,-0.026884667
14.4,-0.027105333
14.5,-0.027334
14.6,-0.027573333
14.7,-0.027808
14.8,-0.028027333
14.9,-0.028216
15,-0.028417333
15.1,-0.028628667
15.2,-0.028852
15.3,-0.029078667
15.4,-0.0293
15.5,-0.029502
15.6,-0.029703333
15.7,-0.029912
15.8,-0.030139333
15.9,-0.030364
16,-0.030135333
16.1,-0.030320667
16.2,-0.030512
16.3,-0.030742
16.4,-0.030982
16.5,-0.031219333
16.6,-0.031438
16.7,-0.031638
16.8,-0.031840667
16.9,-0.032064
17,-0.032298
17.1,-0.032534
17.2,-0.032754
17.3,-0.032951333
17.4,-0.033158
17.5,-0.03338
17.6,-0.033620667
17.7,-0.033855333
17.8,-0.03408
17.9,-0.034287333
18,-0.034498667
18.1,-0.034721333
18.2,-0.034956667
18.3,-0.035187333
18.4,-0.035408
18.5,-0.035613333
18.6,-0.035825333
18.7,-0.036042
18.8,-0.036277333
18.9,-0.036517333
19,-0.036744
19.1,-0.036972
19.2,-0.037191333
19.3,-0.037418667
19.4,-0.037662667
19.5,-0.037906
19.6,-0.038114
19.7,-0.038324
19.8,-0.038541333
19.9,-0.038759333
20,-0.038989333
20.1,-0.039212667
20.2,-0.039447333
20.3,-0.039666667
20.4,-0.039886667
20.5,-0.040092
20.6,-0.040324
20.7,-0.040544667
20.8,-0.040761333
20.9,-0.040982
21,-0.041202
21.1,-0.041419333
21.2,-0.041658
