voltage,wavelength
0,0
0.1,-0.0001455
0.2,-0.0002905
0.3,-0.0004405
0.4,-0.0005915
0.5,-0.0007545
0.6,-0.0009145
0.7,-0.0010675
0.8,-0.0012205
0.9,-0.0013765
1,-0.0015375
1.1,-0.0017005
1.2,-0.0018615
1.3,-0.0020255
1.4,-0.0021865
1.5,-0.0023385
1.6,-0.0024875
1.7,-0.0026485
1.8,-0.0028105
1.9,-0.0029725
2,-0.0031375
2.1,-0.0033095
2.2,-0.0034865
2.3,-0.0036545
2.4,-0.0038235
2.5,-0.0039955
2.6,-0.0041795
2.7,-0.0043645
2.8,-0.0045505
2.9,-0.0047375
3,-0.0049205
3.1,-0.0050905
3.2,-0.0052745
3.3,-0.0054635
3.4,-0.0056585
3.5,-0.0058535
3.6,-0.0060505
3.7,-0.0062465
3.8,-0.0064315
3.9,-0.0066115
4,-0.0067995
4.1,-0.0069925
4.2,-0.0071965
4.3,-0.0073935
4.4,-0.0075975
4.5,-0.0077895
4.6,-0.0079795
4.7,-0.0081775
4.8,-0.0083855
4.9,-0.0085975
5,-0.0088085
5.1,-0.0090245
5.2,-0.0092245
5.3,-0.0094165
5.4,-0.0096115
5.5,-0.0098175
5.6,-0.0100295
5.7,-0.0102495
5.8,-0.0104665
5.9,-0.0106645
6,-0.0108555
6.1,-0.0110555
6.2,-0.0112645
6.3,-0.0114745
6.4,-0.0116895
6.5,-0.0118995
6.6,-0.0120935
6.7,-0.0122825
6.8,-0.0124725
6.9,-0.0126725
7,-0.0128705
7.1,-0.0130765
7.2,-0.0132755
7.3,-0.0134625
7.4,-0.0136405
7.5,-0.0138295
7.6,-0.0140175
7.7,-0.0142035
7.8,-0.0143945
7.9,-0.0145835
8,-0.0147685
8.1,-0.0149575
8.2,-0.0151485
8.3,-0.0153405
8.4,-0.0155285
8.5,-0.0157225
8.6,-0.0159175
8.7,-0.0161075
8.8,-0.0162995
8.9,-0.0164905
9,-0.0166745
9.1,-0.0168565
9.2,-0.0170415
9.3,-0.0172315
9.4,-0.0174235
9.5,-0.0176165
9.6,-0.0178115
9.7,-0.0179995
9.8,-0.0181845
9.9,-0.0183665
10,-0.0185675
10.1,-0.0187585
10.2,-0.0189565
10.3,-0.0191405
10.4,-0.0193165
10.5,-0.0194905
10.6,-0.0196655
10.7,-0.0198565
10.8,-0.0200555
10.9,-0.0202585
11,-0.0204445
11.1,-0.0206285
11.2,-0.0208135
11.3,-0.0210045
11.4,-0.0212055
11.5,-0.0214165
11.6,-0.0216095
11.7,-0.0217955
11.8,-0.0219775
11.9,-0.0221705
12,-0.0223675
12.1,-0.0226035
12.2,-0.0228095
12.3,-0.0229985
12.4,-0.0231715
12.5,-0.0233655
12.6,-0.0235655
12.7,-0.0237725
12.8,-0.0239935
12.9,-0.0241975
13,-0.0243875
13.1,-0.0245925
13.2,-0.0248035
13.3,-0.0250285
13.4,-0.0252545
13.5,-0.0254685
13.6,-0.0256665
13.7,-0.0258755
13.8,-0.0260945
13.9,-0.0263275
14,-0.0265655
14.1,-0.0268025
14.2,-0.0270175
14.3,-0.0272405
14.4,-0.0274695
14.5,-0.0277065
14.6,-0.0279425
14.7,-0.0281645
14.8,-0.0283555
14.9,-0.0285565
15,-0.0287645
15.1,-0.0289915
15.2,-0.0292195
15.3,-0.0294415
15.4,-0.0296435
15.5,-0.0298445
15.6,-0.0300545
15.7,-0.0302825
15.8,-0.0305085
15.9,-0.0307135
16,-0.0308975
16.1,-0.0310905
16.2,-0.0313225
16.3,-0.0315625
16.4,-0.0318005
16.5,-0.0320195
16.6,-0.0322205
16.7,-0.0324265
16.8,-0.0326475
16.9,-0.0328855
17,-0.0331215
17.1,-0.0333415
17.2,-0.0335385
17.3,-0.0337455
17.4,-0.0339755
17.5,-0.0342145
17.6,-0.0344495
17.7,-0.0346715
17.8,-0.0348875
17.9,-0.0350945
18,-0.0353215
18.1,-0.0355515
18.2,-0.0357885
18.3,-0.0360085
18.4,-0.0362165
18.5,-0.0364275
18.6,-0.0366585
18.7,-0.0369065
18.8,-0.0371515
18.9,-0.0373825
19,-0.0376155
19.1,-0.0378465
19.2,-0.0380905
19.3,-0.0383365
19.4,-0.0385775
19.5,-0.0387975
19.6,-0.0390125
19.7,-0.0392345
19.8,-0.0394665
19.9,-0.0397085
20,-0.0399465
20.1,-0.0401775
20.2,-0.0403965
20.3,-0.0406215
20.4,-0.0408555
20.5,-0.0410895
20.6,-0.0413165
20.7,-0.0415415
20.8,-0.0417555
20.9,-0.0419755
21,-0.0422125
21.1,-0.0424575
21.2,-0.0426985
21.3,-0.0429335
21.4,-0.0431625
21.5,-0.0433915
21.6,-0.0436415
21.7,-0.0438925
21.8,-0.0441375
21.9,-0.0443705
22,-0.0445945
22.1,-0.0448255
22.2,-0.0450845
22.3,-0.0453295
22.4,-0.0455785
22.5,-0.0458125
22.6,-0.0460365
22.7,-0.0462795
22.8,-0.0465235
22.9,-0.0467785
23,-0.0470245
23.1,-0.0472555
23.2,-0.0474765
23.3,-0.0477245
23.4,-0.0479835
23.5,-0.0482355
23.6,-0.0484775
23.7,-0.0486995
23.8,-0.0489305
23.9,-0.0491875
24,-0.0494435
24.1,-0.0496985
24.2,-0.0499235
24.3,-0.0501395
24.4,-0.0503675
24.5,-0.0506205
24.6,-0.0508745
24.7,-0.0511155
24.8,-0.0513485
24.9,-0.0515795
25,-0.0518605
25.1,-0.0520905
25.2,-0.0522745
25.3,-0.0524695
25.4,-0.0526785
25.5,-0.0528945
25.6,-0.0531285
25.7,-0.0533745
25.8,-0.0536195
25.9,-0.0538435
26,-0.0540505
26.1,-0.0542625
26.2,-0.0545005
26.3,-0.0547395
26.4,-0.0549705
26.5,-0.0551805
26.6,-0.0553815
26.7,-0.0555875
26.8,-0.0558245
26.9,-0.0560765
27,-0.0563135
27.1,-0.0565295
27.2,-0.0567465
27.3,-0.0569715
27.4,-0.0572255
27.5,-0.0574785
27.6,-0.0577075
27.7,-0.0579275
27.8,-0.0581395
27.9,-0.0583755
28,-0.0586515
28.1,-0.0589165
28.2,-0.0591605
28.3,-0.0593975
28.4,-0.0596295
28.5,-0.0599035
28.6,-0.0601635
28.7,-0.0604025
