voltage,wavelength
0,0.00000000 
0.1,-0.00014367 
0.2,-0.00028960 
0.3,-0.00043900 
0.4,-0.00060156 
0.5,-0.00075991 
0.6,-0.00091169 
0.7,-0.00106460 
0.8,-0.00122071 
0.9,-0.00138105 
1,-0.00154291 
1.1,-0.00170261 
1.2,-0.00186568 
1.3,-0.00202485 
1.4,-0.00217514 
1.5,-0.00232329 
1.6,-0.00248294 
1.7,-0.00264326 
1.8,-0.00280368 
1.9,-0.00296797 
2,-0.00313895 
2.1,-0.00331456 
2.2,-0.00348140 
2.3,-0.00364951 
2.4,-0.00382004 
2.5,-0.00400255 
2.6,-0.00418683 
2.7,-0.00437200 
2.8,-0.00455768 
2.9,-0.00473975 
3,-0.00490926 
3.1,-0.00509222 
3.2,-0.00528016 
3.3,-0.00547409 
3.4,-0.00566812 
3.5,-0.00586462 
3.6,-0.00606014 
3.7,-0.00624453 
3.8,-0.00642376 
3.9,-0.00661107 
4,-0.00680334 
4.1,-0.00700675 
4.2,-0.00720332 
4.3,-0.00740709 
4.4,-0.00759863 
4.5,-0.00778804 
4.6,-0.00798543 
4.7,-0.00819294 
4.8,-0.00840450 
4.9,-0.00861512 
5,-0.00883073 
5.1,-0.00903042 
5.2,-0.00922217 
5.3,-0.00941684 
5.4,-0.00962243 
5.5,-0.00983406 
5.6,-0.01005396 
5.7,-0.01027084 
5.8,-0.01046876 
5.9,-0.01065981 
6,-0.01085983 
6.1,-0.01106858 
6.2,-0.01127848 
6.3,-0.01149343 
6.4,-0.01170347 
6.5,-0.01189747 
6.6,-0.01208662 
6.7,-0.01227680 
6.8,-0.01247684 
6.9,-0.01267450 
7,-0.01288045 
7.1,-0.01307937 
7.2,-0.01326670 
7.3,-0.01344504 
7.4,-0.01363453 
7.5,-0.01382281 
7.6,-0.01400880 
7.7,-0.01419978 
7.8,-0.01438886 
7.9,-0.01457429 
8,-0.01476373 
8.1,-0.01495524 
8.2,-0.01514739 
8.3,-0.01533524 
8.4,-0.01552898 
8.5,-0.01572419 
8.6,-0.01591462 
8.7,-0.01610724 
8.8,-0.01629863 
8.9,-0.01648265 
9,-0.01666391 
